High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
3317,3514,2549,3237,2416,2113.3,198.3,10,299.7,9.5,66,241.9,2938.6,18.98,22.7,2.52,63.38,22.4,10.6
3464,3317,2271,3325,2183,2147.3,197.3,10,280.7,10.8,24,264.9,2934.9,21.46,27.65,3.04,57.88,23,11.6
3588,3464,2473,3406,2333,2202.3,205.1,10,295.8,6.5,49.8,256,3025.5,23.01,25.43,3.46,62.38,30,14.9
3790,3588,2508,3464,2356,2312.7,204.1,10,284.2,12.3,36.3,248.3,3107.9,23.91,16.53,2.88,71.38,29.8,18.6
3847,3790,2558,3662,2403,2448.1,209.9,9,190.4,15.8,64.2,264.2,3201.7,22.75,19.75,2.91,80,30.7,15.1
3971,3847,2641,3502,2450,2464.6,214.4,9.9,194.3,6.3,101.5,251.3,3242.2,20.63,24.41,4.44,67.38,31.2,12.1
3500,3971,2245,3313,2138,2148.7,200,7,260.3,2.6,53.3,244.2,2916,20.54,28.66,2.8,52,24.9,11.5
3607,3500,2467,3385,2314,2258.1,198.6,7,301,2.7,31.8,231,3030.3,18.06,9.33,1.9,78.38,28.2,12.8
3487,3607,2492,3344,2357,2419.3,196.9,7,110,6.8,41.7,221.7,3003.3,20.7,24.06,2.6,75.5,28.8,15
3623,3487,2504,3432,2362,2344.5,194.4,6,247,4.6,18.1,260,3074.6,22.29,24.12,3.09,65.13,22.4,14.1
3701,3623,2536,3446,2376,2282.7,191.6,6.9,248.6,10.8,90,270.5,3101.1,21.41,19.2,2.8,60.88,29.6,15.8
3567,3701,2316,3432,2189,2425.6,184.2,6,130,4.8,29.5,238.2,3018.4,22.78,17.75,2.7,70.5,29.5,16.2
3798,3567,2536,3516,2375,2457.5,178.6,7,215.9,3,53.2,236.5,3151.6,20.81,9.26,2.07,81.5,26.2,16.2
