High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
3950,3986,2579,3627,2358,2752.1,130.1,6,73.3,3.5,-2.1,286.1,3249,26.31,16.15,2.46,76.38,28,21.9
4347,3950,2652,4035,2379,2906.8,123,5.9,123.2,3.3,36.4,276.7,3475.3,27.13,21.64,2.64,70.13,30.6,21.5
4518,4347,2779,4050,2425,2974,119.1,5.7,172.1,1.6,75.4,236,3583.8,27.33,26.12,2.24,68.75,31.5,20.2
4595,4518,2689,4236,2374,3165.8,116.7,5.8,124.6,5.6,-25.3,250,3643.1,26.18,13.61,2.25,85,36.1,21.4
4531,4595,2924,4158,2524,3144.9,144.8,5.1,100.8,0.8,-11.1,272.8,3658,26.67,19.23,2.14,81,36.1,22
4687,4531,2888,4225,2537,3143.5,153.8,5.7,133.3,0.9,-8.4,270.6,3699.4,27.94,22.74,2.45,76.13,32.5,22.3
4860,4687,2936,4410,2549,3253.4,157.4,5.6,164.1,1.3,-16.8,281.4,3846.3,28.62,23.22,2.57,72.88,32.7,23.1
5033,4860,3031,4455,2604,3324.5,150.6,5.6,170.1,2,4,276.7,3933.5,29.05,22.45,2.4,72.88,34.8,24.1
4829,5033,2838,4436,2461,3300.3,129,5.4,121.8,16.7,-27.2,244.3,3790.3,30.75,23.35,2.91,55.13,36,24.3
5332,4829,3091,4776,2671,3539.5,128.4,5.3,165.4,14.6,3.2,276.8,4133.2,28.53,21.7,2.98,64.13,37.2,23.9
4952,5332,3302,4297,2729,3378.9,115.2,5.6,147,3.5,8,270.9,3929,27.03,18.53,2.62,66.88,38.5,22.1
4626,4952,2628,4230,2303,3010.8,130.9,5.4,140.7,16.5,23.2,280,3607.5,26.8,11.33,2.37,85.13,34.8,23.6
4476,4626,2964,4021,2519,3131.5,128,5,57.3,2.2,-4.6,266.6,3585.9,27.77,18.08,3.24,76.38,36.9,24.1
4484,4476,2860,4115,2489,3081.9,139.5,5,142.3,7.8,-1.6,247.4,3622.2,25.99,9.45,2.87,85.25,34.6,22.8
4393,4484,2858,3827,2469,3044.4,135.6,5,7.5,15.9,65.7,228.9,3502.9,26.24,14.78,2.72,83.75,34.8,21
4595,4393,2835,4140,2512,3114,143.6,5.8,99.8,6.2,3.7,269.9,3642.9,26.06,11.87,2.02,82.88,29.6,21.4
4445,4595,2860,4167,2519,3119.6,133.6,6,86.5,1.3,7,271.7,3625.6,27.79,21.2,2.61,75.38,33.1,23
4809,4445,2928,4370,2545,3214.5,148.1,5.8,155.5,2.6,7.2,283.7,3817.4,27.99,21.63,2.54,73.5,33,21.6
4857,4809,2981,4360,2572,3180.5,148.5,5.6,163.2,2.5,59.5,287,3846.8,23.91,3.46,2.85,85.25,34.1,20
4277,4857,2436,4009,2247,2837.1,190,5.9,101.8,19.4,-1.1,251.7,3404.7,24.91,8.95,4.28,81.25,30.3,19.5
4161,4277,2862,3704,2539,2833.3,188.4,6,63.5,19,29.4,264,3403.7,25.97,23.51,3.95,64.25,32.8,16.8
4293,4161,2608,3857,2354,2735,177.2,5.8,171.2,6.5,33.3,277.1,3406,26.16,22.32,2.35,67.63,29.4,18.1
3778,3856,2594,3494,2406,2469.3,204.8,6.2,154.3,3.5,64.3,257.8,3160.2,21.92,26.59,4.01,53.25,29.5,14.1
3809,3778,2583,3337,2393,2371.8,199,6,246.3,13.5,25.3,239.2,3101,19.9,28.59,3.18,46.88,29.3,11.1
3509,3809,2258,3300,2134,2239.2,193.7,6,253.1,3.8,15.4,213.9,2925.1,19.45,22.26,2.92,62.88,28.1,11.6
3495,3509,2466,3305,2311,2318.2,192.2,6,207.6,1.4,36,211.8,2973.1,19.79,7.59,3.26,73,26.7,14.6
3494,3495,2478,3310,2319,2413.1,193.9,6,106.5,6.5,37.3,216.3,2979.6,20.99,14.98,2.88,80.25,26.9,15.7
3572,3494,2487,3445,2331,2417.5,183.3,6,124.5,12.5,82.5,232.4,3058.7,22.53,25.35,2.86,67,23.8,16.7
3716,3572,2573,3405,2393,2407.3,184.9,6.4,232.5,3.4,23.8,243.3,3101.6,23.18,21.24,3.46,60.88,26.3,15.7
3511,3716,2301,3335,2161,2256,180.6,6.2,225.8,5.9,18.5,260.3,2953.3,17.29,8.41,2.31,78.75,28.8,13.8
