High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
4542,4422,3322,4403,3046,3286,92.7,7,163.9,13.3,30.1,337.3,3930.4,4.04,11.44,4.21,43.88,13,-3.4
4701,4542,3314,4638,3023,3326.4,91.6,7,169.5,26,14.6,344.7,3979.8,1.62,7.29,1.62,50.38,12.1,-5.9
4918,4701,3524,4828,3224,3549.5,92.7,7,83.2,24.5,160.7,352.2,4269.8,5.56,11.97,3.14,49.25,11.5,-3.7
4471,4918,3637,4349,3261,3434.5,97.3,7,176.9,22.4,-149.7,368.3,3956.7,4.52,6.97,1.89,62.5,11.8,-2.7
4777,4471,3231,4516,3017,3379.6,99.8,2.4,79.1,13.4,82.6,402.9,4059.8,6.1,11.31,3.47,50.75,11.8,-3
4501,4777,3318,4384,3055,3275.7,94.7,7,166.7,25.2,-61.8,379.6,3887.1,6.01,12.37,2.53,46.88,13.5,-3.2
4364,4501,3275,4272,3013,3140.6,96.6,3.7,180.3,23.8,-1,373.4,3817.3,5.04,12.93,4.05,39.13,13.9,-3
4479,4364,3282,4386,3041,3189.3,99.2,7,183.5,27.3,20.6,358.1,3885,5.14,12.44,2.27,45.5,16.3,-3.9
4456,4479,2948,4376,2803,3088.9,90.6,2,186.5,29.4,20.2,357.2,3774.8,4.14,11.99,2.73,49.38,13.4,-4.5
4511,4456,3370,4426,3098,3226.4,88.5,2,177.4,20.6,50.1,355.6,3920.7,5.26,12.59,2.58,52.38,12.4,-4.5
4426,4511,3381,4271,3070,3212.1,78.1,3,180.5,14.9,-17.2,376.4,3847.9,5.41,13.06,4.38,39.88,13.4,-2.5
4573,4426,3227,4481,2997,3248.7,76.4,6.7,187.3,28.2,-31.1,356.7,3872.9,4.24,11.03,2.3,47,13.1,-5.1
4472,4573,3405,4342,3098,3304.4,73.4,7,157.3,13,29.7,357.4,3942.2,3.81,11.11,4.48,49.88,10.5,-2.2
4780,4472,3210,4359,2959,3310.6,72.1,7,150.5,21.8,21.5,355,3938.4,5.33,13.81,4.94,38.25,13.9,-1.9
4598,4780,3280,4496,3004,3268.5,70.3,7,192.9,31.5,-18.5,361.4,3913.1,4.15,12.67,1.82,54.25,12.1,-4.6
4533,4598,3400,4362,3146,3330.8,65.5,7,189.4,8.6,-28.1,365.5,3938.7,4.42,5.83,2.31,70.63,13.1,-2.8
4838,4533,3340,4445,3078,3433.3,75.8,7,90.6,24.2,18.5,399.8,4049.1,3.59,14.58,3.88,50,13.6,-2.1
4627,4838,3450,4546,3145,3280.6,72.8,7,194,25.2,43.4,387.4,4010.3,5.09,14.42,1.94,53.38,15.2,-5.2
3920,4627,2752,3854,2604,2679.8,96.3,7,199.3,35.5,-46.5,362.4,3333.7,6.18,7.5,2.49,52.63,21,0.8
4346,3920,3027,4231,2845,3126.3,97.3,7.4,108.5,14.9,23.5,364.6,3742.4,5.91,2.45,2,79.5,11.8,0.3
4557,4346,3138,4306,2905,3403.1,95,9,18.7,10.3,-45.5,407.6,3898.2,8.59,11.26,2.8,71.13,12.5,-1
4309,4557,3237,3915,2993,2979.1,84.8,9,170.3,21.8,3.6,378.1,3646.8,5.26,9.93,3.98,41.63,18.7,-1.2
4520,4309,2968,4429,2839,3218.8,76.1,9,130.8,25.4,6.2,362.8,3829.1,1.39,4.08,2.59,70.38,9.7,-1.2
4520,4520,3317,4426,3058,3215.6,90.8,9,186.7,20.1,31,362.8,3916,4.57,11.6,2.54,53.88,13.4,-2.2
4737,4520,3346,4439,3051,3342,91.6,9,127.8,15.1,34.3,366.5,3986.3,3.63,13.19,3.34,41.88,11.5,-2.1
4663,4737,3336,4600,3073,3358.2,96.2,9,188.3,17.5,-27.4,365.1,4006.9,2.87,9.75,2.01,57.88,8.6,-4.2
4868,4663,3502,4559,3187,3532.9,95.5,9,105.9,6.3,24.7,391.2,4165.5,6.48,13.35,2.94,51.25,13.5,-2
4111,4868,3053,4018,2857,2882.3,89,9,230.8,14.8,-8.8,380.8,3597.9,7.83,4.24,1.71,72.75,14.6,2
4314,4111,3062,4108,2840,3120.3,92.9,9,54.1,10.4,37.8,401.7,3726.1,11.48,13.94,2.91,75.13,12.8,2.1
